Location Searched,Insoection vs Plan Check,Address,Last Activity Date,Last Activity Action,Status of Latest Action,Permit No.,Type of Project,Project Description
palo alto,— Permit,1620 Cowper St,Mar 13 2012,Permit Issued,Permit Issued,12000-00478,Permit: #12REV-00147,[12-478] Replace water heater and extend house gas line.,
palo alto,— Inspection,855 El Camino Real Suite 35,Apr 6 2011,Permit Issued,Approved,11000-00437,Permit: #11000-00437,CRIMSON MIM: TI & U&0 FOR NEW CLOTHING STORE 950 SF. ADD NEW ROOFTOP MECHANICAL UNITS AND A NEW FRONT DOOR. **U&O SENT 6/1/11**,
palo alto,— Inspection,3432 Cowper Ct,Aug 6 2012,Permit Issued,Approved,09000-01710,Permit: #11000-02971,RESIDENTIAL PV INSTALLATION,
palo alto,— Inspection,728 Christine Dr,Mar 10 2011,Permit Issued,Rescheduled,11000-00446,Permit: #11000-00446,REMOVE/REPLACE GAS WATER HEATER,
palo alto,— Inspection,233 Hawthorne Av,Feb 18 2011,Permit Issued,Not approved; corrections required,11000-00448,Permit: #11000-00448,WATER HEATER REPLACEMENT,
palo alto,— Permit,3737 Ross Rd,Feb 17 2011,Permit Issued,Permit Issued,10000-01621,Permit: #11REV-00072,10-1621: PROPOSED EXPANSION OF ENTRY WAY TO BE REMOVED FROM SCOPE OF WORK AND TO REMAIN AS IS,
palo alto,— Inspection,4022 Ben Lomond Dr,Apr 27 2011,Permit Issued,Approved,11000-00466,Permit: #11000-00466,TEAR OFF TAR AND GRAVEL ROOF REPLACE ANY DRYROT INSTALL NEW TAR AND GRAVEL ROOF (CLASS A 31 SQUARES),
palo alto,— Inspection,3784 Redwood Ci,Sep 5 2014,Permit Issued,Approved,14000-00699,Res Remodel/Repair,REMODEL (2) BATHROOMS (80 SF) REPLACE (E) TUBS WITH (N) SHOWER IN SAME LOCATION REPLACE (E) SINKS IN SAME LOCATION ASSOCIATED ELECTRICAL INSTALL (N) FANS NO EXTERIOR CHANGES.,
palo alto,— Permit,3247 Emerson St,May 6 2013,Permit Issued,Permit Issued,13000-00293,Permit: #13REV-00301,13000-00293: REVISION TO RELOCATE BATHROOM FROM ONE SIDE OF THE BEDROOM TO THE OTHER SIDE. CHANGE WALK-IN CLOSET,
palo alto,— Permit,1261 Pitman Av,Aug 11 2011,Permit Issued,Permit Issued,11000-00460,Permit: #11REV-00326,11-460: BALCONY DEFERRED SUBMITTAL,
palo alto,Plam Check,531 Jefferson Dr,May 13 2014,Permit Issued,Approved,13000-03117,Res Garage/Carport/Accy bldg,CONVERT DETACHED 2-CAR GARAGE INTO DETACHED 1-CAR GARAGE WITH 299SF OF LIVING SPACE,
palo alto,— Inspection,3864 Middlefield Rd,Jul 9 2013,FIR - Approved,Approved,09000-02642,Permit: #13000-01223,ABILITIES UNITED: RELOCATE AND REPLACE ROOFTOP HVAC UNIT ADD TWO (2) ROOFTOP FANS AND REPLACE DUCTWORK TO ADD ADDITIONAL VENTILATION IN THE POOL AREA.,
palo alto,— Permit,1112 High St,Aug 26 2011,Permit Issued,Permit Issued,11000-00455,Permit: #11REV-00354,11-454: DEFERRED SUBMITTAL FOR TANKLESS WATER HEATER,
palo alto,— Permit,4161 Donald Dr,Feb 21 2013,Permit Issued,Permit Issued,11000-00451,Permit: #13REV-00101,11000-00451: REMOVE GAS METER FROM RESIDENCE AND ABANDON GAS LINES. GAS CUT AND CAPPED AT THE STREET. ALL APPLIANCES TO BE ELECTRICAL.,
palo alto,— Permit,470 Ruthven Av,Jun 16 2011,Permit Issued,Permit Issued,10000-02650,Permit: #11REV-00244,10-2649: CHANGE ROOF PITCH FROM 4.5:12 TO 5.5:12 TO MAKE SURE BUILDING STAYS WITHIN THE DAYLIGHT PLANE,
palo alto,— Inspection,211 Quarry Rd,Jun 1 2015,In Plan Check,Approved,13000-02460,Com Remodel/Repair,HOOVER PAVILION: TI FOR BUILD OUT OF "GRAB AND GO" CAFE ON THE FIRST FLOOR (200 SF),
palo alto,— Inspection,3120 Hansen Wy,Jan 6 2016,Approved,Approved,15000-03314,Com Elect/Plbg/Mech only,INSTALL 3 NEW DUAL HEAD LEVEL 2 CHARGING STATIONS AT THE EXISTING PARKING STALLS,
palo alto,— Inspection,345 Lincoln Av,Jul 8 2011,Permit Issued,Approved,11000-00971,Permit: #11000-00971,ADD SKYLIGHT TO SECOND FLOOR.,
palo alto,— Inspection,1341 Harker Av,Jan 14 2013,Permit Issued,Approved,12000-00457,Permit: #12000-00457,INSTALL RESIDENTIAL PHOTOVOLTAIC SYSTEM,
palo alto,— Inspection,3943 Grove Av,Apr 17 2015,Permit Issued,Approved,15000-00911,Res Elect/Plbg/Mech only,RESIDENTIAL- REPLACE WATER HEATER AND HYDRONIC BOILER WITH COMBO BOILER AND TANKLESS WATER HEATER 199000 BTU,
palo alto,— Inspection,975 California Av,Oct 27 2014,Permit Issued,Approved,12000-02189,Com Elect/Plbg/Mech only,INSTALL (2) DUAL LEVEL 2 EVSE AT PARKING LOT.,
palo alto,Plam Check,4249 El Camino Real,Jun 27 2016,Permit Issued,Approved With Conditions,16000-00788,Non-Building Structures,16PLN-00035: MODIFICATION OF AN EXISTING WIRELESS FACILITY TOWER REPLACE 3 EXISTING ANTENNAS W/3 NEW 6' TALL HEX ANTENNAS. ADD 3 NEW 700MHZ RRUS INSIDE TO THE EXISITING EQUIPMENT ENCLOSRE. ADD 3 NEW STYLE 3C TMAS ADD 3 NEW TWIN PCS TMAS ADD NEW DIPLEXERS ADD 2 EXTRA COAX LINES PER SECTOR (6 TOTAL). REMOVE 3 EXISTING STYLE 4 TMAS REPLACE 1 EXISTING 16" RADOME W/1 32" FRP RADOME.,
palo alto,Plam Check,1651 Page Mill Rd,Jan 26 2016,Permit Issued,Approved,14000-02170,Revision,14-2170: REVISED LANDSCAPE AND HARDSCAPE INCLUDING RESTRIPING PARKING AREA.,
palo alto,— Inspection,120 Lowell Av,Apr 17 2013,Permit Issued,Approved,13000-00913,Permit: #13000-00913,REPLACE & UPGRADE MAIN POWER PANEL TO 200 AMPS (EMERGENCY REPAIR),
palo alto,— Permit,470 Santa Rita Av,Feb 21 2013,Permit Issued,Permit Issued,12000-02577,Permit: #13REV-00104,12000-03119: ADD EXTERIOR AC UNIT AND NEW HEAT PUMP IN THE ATTIC.,
palo alto,— Inspection,3966 Middlefield Rd,Oct 24 2012,Permit Issued,Approved,12000-02329,Permit: #12000-02329,BLADES BARBER SHOP: INSTALL A HEAT PUMP MINI SPLIT SYSTEM,
palo alto,— Inspection,350 W Meadow Dr,Feb 11 2016,Finaled,Approved,15000-03257,Res Elect/Plbg/Mech only,RESIDENTIAL ROOF MOUNTED PHOTOVOLTAIC SYSTEM 3.76kW INSTALL LEVEL 2 CHARGER ON INTERIOR WALL OF GARAGE. SCOPE OF WORK INCLUDES SERVICE CHANGE OUT (200A TO 200A),
palo alto,— Inspection,3955 Duncan Pl,Feb 10 2012,Permit Issued,Approved,12000-00318,Permit: #12000-00318,INSTALL (5) SKYLIGHTS.,
palo alto,— Permit,590 Forest Av,May 22 2012,Permit Issued,Permit Issued,12000-00323,Permit: #12REV-00272,12-323: REVISION TO NO LONGER DEMOLISH DIMISING WALL OF ADJACENT TENANT. REVISION INCLUDES STRUCTURAL DETAILS FOR STRAPING @ WINDOWS; HOLDDOWN @ GRID G-9 AND LEDGER @ PSL BEAM.,
palo alto,— Permit,3873 El Centro St,Feb 8 2012,Permit Issued,Permit Issued,11000-02905,Permit: #12REV-00070,11000-02905: REVISE PLANS REPLACE DC DISCONNECT ON ROOF WITH J-BOX,
palo alto,— Permit,2799 Middlefield Rd,Feb 10 2012,Permit Issued,Permit Issued,11000-02915,Permit: #12REV-00076,11-2915; DEFERRED PLUMBING PLANS. ADDITIONAL ELECTRICAL WORK.,
palo alto,— Inspection,582 Patricia Ln,Apr 22 2016,Finaled,Approved,16000-00555,Res Elect/Plbg/Mech only,INSTALL LEVEL 3 CAR CHARGERS ON INTERIOR WALL OF GARAGE,
palo alto,— Permit,265 Wilton Av,Aug 29 2011,Permit Issued,Permit Issued,11REV-00355,Permit: #11REV-00355,10-511; RELOCATE GAS METER (DELTA 1),
palo alto,— Inspection,3151 Cowper St,Jul 30 2015,Finaled,Approved,15000-01144,Res Elect/Plbg/Mech only,RESIDENTIAL ELECTRICAL 100AMP BREAKER REPLACEMENT.,
palo alto,— Inspection,1601 California Av,Sep 30 2015,Permit Issued,Approved,14000-01856,Com Demolition,DEMO,
palo alto,— Inspection,3388 Kipling St,Feb 13 2012,Permit Issued,Approved,12000-00301,Permit: #12000-00301,SFR RE-ROOF: INSTALL (N) COMPOSITION (21 SQUARES) CLASS A; REMOVE (E) SHAKES ADDING (N) SHEATHING.,
palo alto,— Inspection,2317 Harvard St Unit B,Sep 27 2013,Permit Issued,Approved,13000-02546,Permit: #13000-02546,TEAR OFF AND RE-ROOF DETACHED STRUCTURE (UNIT B) WITH COMP SHINGLES (6 SQUARES),
palo alto,— Permit,66 Morton St,Sep 6 2011,Permit Issued,Permit Issued,11000-01466,Permit: #11REV-00368,11-1146: ADDITIONAL STRUCTURAL DETAILS,
palo alto,— Inspection,3723 Feather Ln,Feb 7 2012,Permit Issued,Approved,12000-00298,Permit: #12000-00298,RESIDENTIAL GAS LINE REPAIR AT NIPPLE CONNECTOR BETWEEN THE WALL AND THE GAS RANGE,
palo alto,Plam Check,958 Van Auken Ci,Oct 30 2013,Permit Issued,Approved,13000-02349,Permit: #13REV-00673,(13000-02349) ADD (3) WINDOWS RELOCATE AND REDUCE SIZE OF (1) SKYLIGHT AND ADD (1) SKYLIGHT OVER UNCONDITIONED SPACE.,
palo alto,— Permit,1705 Cowper St,Jun 10 2011,Permit Issued,Permit Issued,10000-02571,Permit: #11REV-00232,10-2571 : REVISE SIDING AND DETAILS.,
palo alto,— Permit,1560 Portola Av,Feb 8 2012,Permit Issued,Permit Issued,11000-02537,Permit: #12REV-00071,11000-02537: REVISION TO CHANGE FEEDER BREAKER SIZE,
palo alto,— Inspection,510 Thain Wy,Mar 29 2012,Permit Issued,Approved,12000-00319,Permit: #12000-00319,INSTALL (4) RECESSED HIGH EFFICACY LIGHTING IN KITCHEN.,
palo alto,— Permit,336 Hawthorne Av,Apr 22 2013,Permit Issued,Permit Issued,13000-00890,Permit: #13REV-00253,ADD ROOF SCREEN,
palo alto,— Inspection,510 Waverley St,Mar 2 2012,Permit Issued,Approved,12000-00315,Permit: #12000-00315,UPGRADE ELECTRIC SERVICE TO 200 AMPS. PANEL SIZE IS INCREASING AND WILL BE SHIFTED OVER BY 12-INCHES. UTILITY APPROVAL UNDER 12UTL-60. EXTERIOR CHANGE APPROVED BY DENNIS BACKLUND,
palo alto,— Inspection,2611 Alma St,Feb 13 2012,Permit Issued,Approved,12000-00314,Permit: #12000-00314,WATER HEATER REPLACEMENT IN SAME LOCATION.,
palo alto,— Inspection,263 Fairfield Ct,Jun 29 2012,Permit Issued,Approved,12000-00313,Permit: #12000-00313,BATHROOM REMODEL LIKE FOR LIKE; NEW SHEETROCK FLOOR AND CABINETS. INCLUDES ELECTRICAL WORK.,
palo alto,— Inspection,532 Channing Av Unit 301,Jun 24 2015,Permit Issued,Approved,14000-01239,Res Elect/Plbg/Mech only,INSTALL (N) OUTLET [TESLA UMC "UNIVERSAL MOBILE CONNECTOR"] FOR EV CHARGER FOR PARKING SPACE #58 50A CIRCUIT,
palo alto,— Inspection,1289 College Av,Feb 27 2012,Permit Issued,Approved,12000-00312,Permit: #12000-00312,Tear off old Compo roof. Replace any dry rot. Install new Compo roof.,
palo alto,— Inspection,3670 Bryant St,Mar 5 2015,Permit Issued,Cancelled,15000-00490,Web-Re-roofing,2 Sections of compo only. Tear off old compo roofs. Replace andy dry rot. Install new Compo roofs.,
palo alto,— Inspection,378 Cambridge Av Apt M,Jun 25 2015,Permit Issued,Approved,13000-01504,Permit: #13000-01504,U&O ONLY FOR "ANOVA SOLUTIONS INC." A COMPUTER SOFTWARE PROGRAMMING START-UP APPROX 650 SQ FT,
palo alto,— Inspection,2270 Amherst St,May 23 2012,Permit Issued,Approved,12000-00327,Permit: #12000-00327,WHOLE HOUSE GAS TEST MODIFICATIONS TO GAS MAIN LINE.,
palo alto,— Inspection,974 Blair Ct,May 16 2012,Permit Issued,Approved,12000-00326,Permit: #12000-00326,RESIDENTIAL KITCHEN REMODEL (133 SF). UPGRADE ELECTRIC METER TO 200 AMPS IN THE SAME LOCATION,
palo alto,— Inspection,746 San Carlos Ct,Aug 21 2012,Permit Issued,Approved,12000-00395,Permit: #12000-00395,KITCHEN REMODEL AND MINOR ROOF REPAIR.,
palo alto,— Inspection,180 El Camino Real Suite 012,Oct 16 2013,Permit Issued,Approved,13000-01345,Permit: #13000-01746,INTERIOR NON-STRUCTURAL DEMO FOR COMMERCIAL TENANT SPACE,
palo alto,— Permit,3716 Carlson Ci,Aug 13 2012,Permit Issued,Permit Issued,12000-00322,Permit: #12REV-00445,12-322: REPLACE WATER HEATER AND FURNACE WITH COMBO UNIT. CONNECT TO EXISTING HYDRONIC LINES.,
palo alto,— Inspection,445 Emerson St,Nov 7 2012,Permit Issued,Approved,12000-02767,Permit: #12000-02767,RANGOON RUBY: CAP UNUSED GAS LINE IN THE SIDEWALK. NO WORK BEING DONE INSIDE THE RESTAURANT. STREET WORK PERMIT UNDER 12STR-199,
palo alto,— Inspection,4233 Middlefield Rd,Aug 1 2012,Permit Issued,Approved,12000-01683,Permit: #12000-01683,RESIDENTIAL REROOF,
palo alto,— Inspection,475 Embarcadero Rd,Mar 23 2012,Permit Issued,Approved,12000-00654,Permit: #12000-00654,RESIDENTIAL GAS LINE REPAIR: REPLACE 6-FT OF GAS LINE,
palo alto,— Permit,535 Arastradero Rd,Nov 22 2013,Permit Issued,Permit Issued,13REV-00731,Permit: #13REV-00731,13000-02005: CHANGE THE DESIGN AND APPEARANCE OF THE 6-FOOT TALL PRECAST ENCLOSURE WALL. WALL WILL NOW BE WOOD GRAIN MATERIAL AND SUPPORTS ARE NOW CLOSER TOGETHER,
palo alto,— Inspection,973 Roble Ridge,Oct 28 2015,Finaled,Approved,15000-00934,Res Remodel/Repair,DETACHED CABIN REMODEL: INCLUDE (N) 50K BTU GAS INSERT AND 100K BUT TANKLESS WATER HEATER (N) 100AMP SUBPANEL AND WINDOW REPLACEMENT.,
palo alto,— Permit,1917 Channing Av,Apr 16 2010,Permit Issued,Permit Issued,10000-00519,Permit: #10REV-00113,10-519: REPLACE 3-WINDOWS AND 1-SLIDING DOOR IN SAME SIZE OPENINGS AND LOCATIONS.,
palo alto,— Inspection,4072 Scripps Av,Oct 27 2014,Permit Issued,Approved,14000-02507,Res Elect/Plbg/Mech only,RESIDENTIAL ROOF-MOUNT PV 4.14 kW UPGRADE (E) PANEL FROM 100 TO 150 AMPS IN SAME LOCATION OUTSIDE REAR CORNER OF HOUSE,
palo alto,— Permit,3965 El Cerrito Rd,Dec 6 2010,Permit Issued,Permit Issued,10000-02974,Permit: #10REV-00483,06-872: REMOVE CONCRETE SLAB AT TRELLIS AND REPLACE WITH PAVERS. REVISED FOUNDATION DETAILS WERE PROVIDED BY THE ENGINEER,
palo alto,— Inspection,1045 Harriet St,Nov 30 2010,Permit Issued,Approved,10000-02904,Permit: #10000-02904,INSTALL TANKLESS WATER HEATER ON GARAGE SIDE.,
palo alto,— Inspection,1873 Mark Twain St,Mar 17 2010,Permit Issued,Approved,10000-00518,Permit: #10000-00518,REPLACE SEWER LINE ~37FT FROM HOUSE REPLACE CITY CLEAN OUT AND WATER MAIN LINE.,
palo alto,— Inspection,4076 Wilkie Wy,Apr 26 2010,Permit Issued,Approved,09000-02618,Permit: #10000-00755,TEMPORARY POWER POLE,
palo alto,— Permit,674 Wellsbury Wy,Mar 16 2010,Permit Issued,Permit Issued,10000-00529,Permit: #10000-00529,REPLACE FURNACE IN SAME LOCATION;,
palo alto,— Permit,370 Portage Av,Apr 12 2010,Permit Issued,Permit Issued,10000-00525,Permit: #10000-00525,(LANDLORD)VOLUNTARY REINFORCING OF EXIST BOW STRING TRUSSES - TOTAL OF (9) IN "LYNCEAN" TENANT SPACE.,
palo alto,— Inspection,220 Iris Wy,Apr 15 2010,Permit Issued,Approved,10000-00524,Permit: #10000-00524,FIRE DAMAGE REPAIR IN KITCHEN AREA.,
palo alto,— Permit,823 Oregon Av,Apr 8 2010,GB - Appd Inspection Required,Permit Issued,10000-00618,Permit: #10REV-00097,09-480 ORIGINAL PROJECT WAS SUBMITTED AS AN ADDITION/REMODEL BUT THE ENTIRE HOUSE WAS DEMOLISHED. PLANS RESUBMITTED AS A NEW STRUCTURE,
palo alto,— Inspection,1204 Middlefield Rd,Mar 19 2010,Permit Issued,Rescheduled,10000-00545,Permit: #10000-00545,GAS REPAIR,
palo alto,— Inspection,500 Palo Alto Av,Apr 16 2010,Permit Issued,Approved,10000-00542,Permit: #10000-00542,REROOF APPARTMENT COMPLEAX; ~6000 FT^2 INSTALL 30 YEAR COMP SHINGLE,
palo alto,— Inspection,3126 Flowers Ln,Jan 10 2011,Permit Issued,Approved,10000-03362,Permit: #10000-03362,INSTALL ELECTRIC CHARGING STATION IN GARAGE; CLASS 2 240VOLT 2POLE 40 AMPS CIRCUIT.,
palo alto,— Inspection,1142 Byron St,Oct 31 2014,Permit Issued,Not approved; work not finished,14000-02816,Web-Water Heater - No Tankless,remove and replace water heater in the same location,
palo alto,Plam Check,651 Homer Av,Sep 11 2009,,Approved,09REV-00303,Permit: #09REV-00303,09-300: TRUSS CALCS,
palo alto,Plam Check,777 Welch Rd,Apr 26 2016,Approved,Approved; inspection required,15000-01582,Com Remodel/Repair,NEW 3 STORY WARM SHELL (11550SF) FOR FUTURE MEDICAL DENTAL OFFICE. TENANT IMPROVEMENT SHALL BE SEPARATE PERMIT.,
palo alto,— Inspection,743 Holly Oak Dr,Apr 3 2009,,Approved,09000-00531,Permit: #09000-00639,REPLACE BOILER,
palo alto,— Inspection,651 Homer Av 653,Jun 30 2009,Approved Inspection Required,Not approved; work not finished,09000-00510,Permit: #09000-00510,DEMO DUPLEX (651-653),
palo alto,— Inspection,525 E Meadow Dr,Feb 12 2010,Permit Issued,Cancelled,09000-02264,Permit: #09000-02693,TEMP O/H POWER POLE,
palo alto,— Inspection,3538 Evergreen Dr,May 1 2009,,Approved,09000-00518,Permit: #09000-00518,REMOVE & REPLACE 11 WINDOWS AND 4 PATIO DOORS (SLIDING GLASS DOORS) ALUMINUM TO VINYL LIKE FOR LIKE NO CHANGE IN ROUGH OPENINGS.,
palo alto,— Permit,716 San Antonio Rd H,May 14 2010,Permit Issued,Permit Issued,09000-00516,Permit: #09000-00516,USE & OCCUPANCY FOR EXISTING TENANT WITH CHANGE OF OWNERSHIP IN UNIT H "SAN ANTONIO CABINETS" (3120 SF).,
palo alto,— Inspection,752 Greer Rd,Sep 1 2009,Permit Issued,Approved,09000-00514,Permit: #09000-01790,TEMP OVERHEAD POWER POLE,
palo alto,Plam Check,2450 Watson Ct,Apr 21 2009,,Approved,09REV-00141,Permit: #09REV-00141,05-02646: REQUEST FOR DEF SUBMITTAL (PERTAINING TO FUTURE TI SPACE/STANFORD) ITEMS INCLUDE PARTIAL PARKING LOT STRIPING BATHROOM AND CORE DOORS ACCESSORIES & FINISHES INCLUDING PLBG FIXTURES.,
palo alto,— Inspection,570 Oxford Av,Mar 31 2009,,Approved,09000-00532,Permit: #09000-00532,REMOVE PLYWOOD ON EXISTING GUARDRAIL AND REPLACE WITH WROUGHT IRON PICKETS 4" ON CENTER AT 2ND FLOOR.,
palo alto,— Inspection,3398 El Camino Real Bldg A,Mar 30 2011,Permit Issued,Rescheduled,09000-00529,Permit: #09000-00529,VOLUNTARY SEISMIC STRENGTHENING AT BLDG A ADA UPGRADES AT PARKING AND BATHROOM ON PENTHOUSE LEVEL. ***PERMIT APPLICATION EXTENDED TO 03.16.10***,
palo alto,— Permit,548 Emerson St,May 13 2010,Permit Issued,Permit Issued,09000-00527,Permit: #09000-00527,USE & OCCUPANCY ONLY FOR NEW TENANT "SCOTTY'S BAR & GRILL" (1100 SF). NO TENANT IMPROVEMENTS PROPOSED.,
palo alto,— Inspection,4008 Villa Vista,Mar 24 2009,,Approved,09000-00526,Permit: #09000-00526,REPAIR DRY-ROT AT GARAGE HIP BEAM ADD SUPPORTS FOR 4X16 BEAM,
palo alto,— Inspection,705 San Antonio Av,Apr 2 2009,,Approved,09000-00525,Permit: #09000-00525,PHASE II EVR VAPOR RECOVERY CARBON CANISTER.,
palo alto,— Inspection,133 Middlefield Rd,Jun 25 2013,Permit Issued,Approved,13000-01533,Permit: #13000-01533,REPLACE FURNACE IN BASEMENT IN SAME BASEMENT LOCATION AND ALL ASSOCIATED DUCTWORK. INSTALL PUMP FOR CONDENSATE LINE WITH ASSOCIATED ELECTRICAL AND PLUMBING. ALL EQUIPMEN SHALL BE LISTED BY APPROVED LISTING AGENCY AND INSTALLED PER MANUFATURER SPEC AND CITY REQUIREMENTS. 6/11/13: Refund $133.50 to contractor. Mech fees should have been itemized instead of by square footage and no electrical permit needed.,
palo alto,— Inspection,1501 Page Mill Rd,Dec 22 2015,Permit Issued,Partially approved,15000-02466,Com Remodel/Repair,HEWLETT PACKARD: BATHROOM REMODEL FOR (E) TENANT. RENOVATE ONE MEN AND ONE WOMENS RESTROOM ON THE 5TH FLOOR (925 SF). NO CHANGES TO LIGHTING.,
palo alto,— Inspection,845 Talisman Dr,Nov 4 2011,Permit Issued,Approved,11000-01660,Permit: #11000-01660,NEW 137 SF ADDITION AT THE REAR OF THE RESIDENCE.,
palo alto,— Inspection,101 Forest Av,Jun 12 2015,Permit Issued,Approved,15000-01345,Res Remodel/Repair,PALANTIR: 2ND FLOOR DEMOLITION OF NON-STRUCTURAL DEMISING WALL TO CONVERT TWO CONFERENCE ROOMS INTO ONCE CONFERENCE ROOM.,
palo alto,— Inspection,2995 Middlefield Rd,Mar 14 2013,Permit Issued,Rescheduled,13000-00526,Permit: #13000-00526,INSTALL (2) ILLUMINATED "SAMYAMA" SIGNS 1 FREESTANDING SIGN AND 1 WALL SIGN (12PLN-00519),
palo alto,— Inspection,1246 Pitman Av,Jan 6 2016,Permit Issued,Not approved; work not finished,14000-03174,Permit: #14000-03174,NEW POOL AND ASSOCIATED EQUIPMENT.,
palo alto,— Permit,3869 Grove Ct,Feb 18 2011,Permit Issued,Issued through Velocity Hall,11000-00453,Permit: #11000-00453,Replace 40 Gallons Water heater,
palo alto,— Permit,1820 Fulton St,Feb 25 2011,Permit Issued,Permit Issued,10000-02294,Permit: #11REV-00090,10-2294; revision includes addition of tankless water heater.,
palo alto,— Inspection,1121 Lincoln Ave,Mar 8 2011,Permit Issued,Approved,11000-00469,Permit: #11000-00468,Remove existing wood shingle on House roof and install new composition roof with Radiant Barrier sheeting.,
palo alto,— Inspection,3362 Ramona St,Mar 14 2011,Permit Issued,Approved,11000-00483,Permit: #11000-00483,KITCHEN REMODEL ~150SF,
palo alto,— Permit,378 Ventura Av,Feb 22 2011,Permit Issued,Permit Issued,11000-00482,Permit: #11000-00482,REPLACE WALL FURNACE,
palo alto,— Inspection,703 Clara Dr,Mar 1 2011,Permit Issued,Approved,11000-00481,Permit: #11000-00481,SPOT REPAIR TO MAIN SEWER AND BUILDING CLEAN OUT REPLACEMENT.,
palo alto,— Inspection,767 Marion Av,Feb 25 2011,Permit Issued,Approved,11000-00480,Permit: #11000-00480,SEWER LINE REPAIR -50 FOOT TRENCHLESS METHOD,
palo alto,— Inspection,2348 South Ct,Mar 11 2011,Permit Issued,Approved,11000-00476,Permit: #11000-00476,ELECTRICAL SERVICE UPGRADE TO 200 AMPS IN THE SAME LOCATION AS EXISTING,
palo alto,— Inspection,4006 Ben Lomond Dr,Jul 12 2011,Permit Issued,Approved,11000-00474,Permit: #11000-00474,KITCHEN REMODEL (REPLACE COUNTER TOPS) INFILL AN INTERIOR OPENING IN THE DINING ROOM AND ADDING FULL HEIGHT CABINENTS IN THE DINING ROOM -150 SF,
palo alto,— Inspection,2747 Ross Rd,Mar 16 2011,Permit Issued,Approved,11000-00473,Permit: #11000-00473,INSTALL NEW RESIDENTIAL PV SYSTEM,
palo alto,— Permit,101 California Av Unit D100 C,May 31 2011,Permit Issued,Permit Issued,11000-00472,Permit: #11000-00472,U&O FOR "CUT COLOR STYLE PRO SALON"; TENANT TO OCCUPY ~500 SF. **U&O SENT 6/27/11**,
palo alto,— Inspection,1177 Waverley St,May 10 2011,Permit Issued,Approved,11000-00471,Permit: #11000-00471,BATHROOM REMODEL -SECOND FLOOR HALLWAY BATHROOM,
palo alto,— Inspection,766 University Av,Nov 20 2014,Permit Issued,Approved,14000-02224,Res Remodel/Repair,CONDO BATHROOM REMODEL ~50SF.,
palo alto,— Inspection,2160 Bryant St,Oct 24 2011,Permit Issued,Approved,11000-01089,Permit: #11000-01089,RESIDENTIAL SOLAR PANEL INSTALL ~10.78 KW ON 49 MODULES,
palo alto,— Inspection,3001 Bryant St,Jun 15 2015,Permit Issued,Approved,15000-00670,Res Elect/Plbg/Mech only,NEW A/C UNIT,
palo alto,— Inspection,559 Thain Wy,Mar 23 2011,Permit Issued,Approved,11000-00479,Permit: #11000-00479,remove and replace 40-gallon water heater in same location,
